1;******TA**;PAGINARE
2;*C***I***;CONVERSIE
3;*R*A****;CARTONAJ
4;A**E******;AUTOMATIZARE
5;**N*T*E;ALINIARE
6;***M***;DEZVOLTARE
7;*P***E***;PRESIUNE
8;C***O*****;COORDONARE
9;**U**I***;BUNĂVOINȚĂ
10;**I***T*;RIGUROS
11;*A**D***;SADURARE
12;L*O**E*;LOCAȚIE
13;***R***R**;CALCULATOR
14;*E****I*;ASISTENȚĂ
15;*N*I*Ț**;DEFINITIV
16;****T**;INFORMATICĂ
17;T**E***;TEHNOLOGIE
18;*A**E**;FOTOGRAFIE
19;**C***O*;CONȚINERE
20;*I**E***;INTERFAȚĂ
21;******I;AFLARE
22;****L***;CONSTRUCȚIE
23;*A***S**;APLICARE
24;S*****C*;EXPLORARE
25;***A****;ÎMBUNĂTĂȚIRE
26;D***E***;DEZVOLTARE
27;F*R****;FORMARE
28;***S*E;SISTEMATIC
29;***L**;FLUENȚĂ
30;C**I**;CISMA
31;**T**A**;PERSUASIUNE
32;****A*E;FRONTIERĂ
33;*P***D**;PRINCIPAL
34;***E***;SCENARIU
35;**C**I**;EVALUARE
36;***T***A;MANAGEMENT
37;S*U*****;SURVENIRE
38;**A**C;ATENȚIE
39;E****E*;EDUCAȚIE
40;R****T;REZUMAT
41;***C****;SENSIBILITATE
42;*I*I*L*;MATERIALIZARE
43;L***T**;LITERATURĂ
44;E**C**;ECHILIBRU
45;**O***;ORGANIZARE
46;D*O*E*;DONARE
47;C****U*;COMUNICARE
48;N*****;NUMERAȚIE
49;A***O**;ALIMENTARE
50;R*E**T;REZISTENȚĂ
51;**E***I;EVIDENȚĂ
52;F*I***;FIINȚĂ
53;S***E**;STABILITATE
54;C***R***;COLABORARE
55;O*P***;OPTIMIZARE
56;T*E***;TESTARE
57;D*I****;DIRECȚIE
58;L**A*;LUCRARE
59;*C*E**;CREATIVITATE
60;H***T;HARMONIE
61;R**C*;RISCURILE
62;**U**A*;URGENȚĂ
63;C*****;CANTITATE
64;E***A*;EXPERIENȚĂ
65;*O*V***;OBIECTIVE
66;B*E**A*;BASME
67;T*E***;TEORIE
68;A****T*;AFILIERE
69;P*****;PROCESARE
70;N***I*;NATURA
71;*U***E*;URMĂRIRE
72;*L*E*I;ANALIZĂ
73;F**U*;FUNDAMENT
74;*S**I*;SUCCES
75;I***A;IMPACT
76;C***A***;CALITATE
77;P***E*;PERSPECTIVĂ
78;A****D;ADAPTARE
79;R**S*E;RESURSE
80;O*****;OBIECTIV
81;S*E****;SPECTACOL
82;*C**A;CALCUL
83;A*I**I;ANALIZĂ
84;P***R**;PREZENTARE
85;T**E*E;TEHNIC
86;D*U**;DIALOG
87;E*L***;ELEMENT
88;C***S;CUMPĂRARE
89;*R*I**;RAPORTARE
90;N***T;NATURAL
91;V**T;VALOARE
92;S***T;SEMINAR
93;*A****;AFILIAT
94;C*U**;CURSURI
95;R***E;REZOLUȚIE
96;B*O**;BUNURI
97;F*****;FOCUL
98;D**C**;DIAGRAMĂ
99;**E*U;EVALUARE
100;S***N;SENAT
